,N,Seed,Lambda,Beta,Theta,Relative Error 5%,TLA.Time 5%,IP.Time 5%,Total.TLA.Time 5%,Relative Error 1%,TLA.Time 1%,IP.Time 1%,Total.TLA.Time 1%,Exact.Time,Num.Facilities
0,80.0,100.0,1.0,1.0,1.0,0.0019005007571883717,2.33,0.22,2.55,0.0019005007571883717,5.58,0.24,5.82,58.3,5.0
1,80.0,101.0,1.0,1.0,1.0,0.0036779347765547974,2.64,0.5,3.14,0.0,5.8,0.54,6.34,202.69,5.0
2,80.0,102.0,1.0,1.0,1.0,0.0,2.74,0.27,3.01,0.0,6.0,0.42,6.42,113.41,5.0
3,80.0,103.0,1.0,1.0,1.0,0.0,2.74,0.24,2.98,0.0,5.88,0.37,6.25,82.84,5.0
4,80.0,104.0,1.0,1.0,1.0,0.0,2.77,0.39,3.16,0.0,6.27,0.58,6.85,92.05,5.0
5,90.0,100.0,1.0,1.0,1.0,0.0,3.73,0.53,4.26,0.0,8.29,0.82,9.11,145.21,5.0
6,90.0,101.0,1.0,1.0,1.0,0.0,3.75,0.44,4.19,0.0,8.33,0.53,8.86,126.05,5.0
7,90.0,102.0,1.0,1.0,1.0,0.0,3.73,0.3,4.03,0.0,8.11,0.65,8.76,66.9,5.0
8,90.0,103.0,1.0,1.0,1.0,0.0003704742621566071,3.61,0.45,4.06,0.0003704742621566071,8.23,0.48,8.71,222.32,5.0
9,90.0,104.0,1.0,1.0,1.0,0.0,4.11,0.29,4.4,0.0,8.48,0.42,8.9,100.35,5.0
10,100.0,100.0,1.0,1.0,1.0,0.0,4.44,0.32,4.76,0.0,9.85,0.36,10.21,40.72,5.0
11,100.0,101.0,1.0,1.0,1.0,-0.00667052891095388,4.32,0.56,4.88,0.0,10.29,0.42,10.71,66.83,5.0
12,100.0,102.0,1.0,1.0,1.0,0.0,4.7,0.36,5.06,0.0,10.55,0.6,11.15,201.05,5.0
13,100.0,103.0,1.0,1.0,1.0,0.0,4.37,0.3,4.67,0.0,9.87,0.77,10.64,43.53,5.0
